id_cliente,nome,email,uf,cidade,status_email,flag_recebe_email,tipo_problema,nivel_prioridade,pedidos_confirmados,pedidos_pendentes,pedidos_cancelados,pedidos_outros,total_pedidos,valor_pendente,valor_cancelado,valor_total_historico,percentual_pendentes,percentual_cancelados,primeira_compra,ultima_compra,meios_pagamento_usados,departamentos_comprados,acao_recomendada,segmento_campanha
154843.0,MONIQUE,154843@testexp00.com.br,,,nao_pode_receber_emails,0,tem_pendencias,alta_prioridade,24,18,0,0,42,666249.6,0.0,1264375.2,42.86,0.0,2020-07-22 00:00:00,2021-11-11 00:00:00,BOLETO,"BELEZA,INFORMATICA,ACESSORIOS,LIVROS,AUDIO,TELEFONIA",tentar contato telefônico ou sms,campanha_urgente_outros
164377.0,ELVIO,164377@testexp00.com.br,RS,NOVO HAMBURGO,pode_receber_emails,1,tem_pendencias,alta_prioridade,10,2,0,0,12,623304.0,0.0,1029288.0,16.67,0.0,2020-11-26 00:00:00,2021-06-27 00:00:00,BOLETO,"INFORMATICA,UTILIDADES,AUDIO,TELEFONIA,ACESSORIOS,SOM,BELEZA",enviar email de lembrete de pagamento,campanha_urgente_email
167040.0,PAMELA,167040@testexp00.com.br,RO,PORTO VELHO,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,16,0,0,16,620602.8,0.0,620602.8,100.0,0.0,2021-06-14 00:00:00,2021-09-03 00:00:00,BOLETO,"AUDIO,INFORMATICA,TELEFONIA,BELEZA,UTILIDADES,ACESSORIOS",enviar email de lembrete de pagamento,campanha_urgente_email
160520.0,CARINA,160520@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,2,8,0,0,10,592848.0,0.0,634572.0,80.0,0.0,2020-12-08 00:00:00,2021-07-10 00:00:00,BOLETO,"INFORMATICA,ACESSORIOS,MODA",enviar email de lembrete de pagamento,campanha_urgente_email
163712.0,JULIANO,163712@testexp00.com.br,SP,SÃO PAULO,pode_receber_emails,1,tem_pendencias,alta_prioridade,5,2,0,0,7,561816.0,0.0,609195.6,28.57,0.0,2020-12-10 00:00:00,2021-08-20 00:00:00,BOLETO,"AUDIO,INFORMATICA,MODA",enviar email de lembrete de pagamento,campanha_urgente_email
174491.0,GISELE,174491@testexp00.com.br,RS,PELOTAS,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,8,0,0,8,519120.0,0.0,519120.0,100.0,0.0,2021-03-18 00:00:00,2021-12-07 00:00:00,DINHEIRO,"INFORMATICA,UTILIDADES,ACESSORIOS,AUDIO",enviar email de lembrete de pagamento,campanha_urgente_email
167836.0,RAFAEL,167836@testexp00.com.br,SP,SÃO PAULO,pode_receber_emails,1,tem_pendencias,alta_prioridade,2,10,0,0,12,366921.6,0.0,520449.6,83.33,0.0,2020-12-23 00:00:00,2021-06-11 00:00:00,BOLETO,"AUDIO,INFORMATICA,MODA,TELEFONIA",enviar email de lembrete de pagamento,campanha_urgente_email
173531.0,DANIELA,173531@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,6,0,0,6,366090.0,0.0,366090.0,100.0,0.0,2021-03-14 00:00:00,2021-03-14 00:00:00,DINHEIRO,"AUDIO,LIVROS,INFORMATICA,TELEFONIA",enviar email de lembrete de pagamento,campanha_urgente_email
169347.0,REBECA,169347@testexp00.com.br,RS,LAJEADO,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,6,0,0,6,325284.0,0.0,325284.0,100.0,0.0,2021-11-19 00:00:00,2021-12-05 00:00:00,BOLETO,"BELEZA,LIVROS,INFORMATICA,SOM,ACESSORIOS",enviar email de lembrete de pagamento,campanha_urgente_email
153239.0,ROSICLE,153239@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,48,24,0,0,72,321900.0,0.0,539925.6,33.33,0.0,2020-07-12 00:00:00,2021-12-13 00:00:00,BOLETO,"ACESSORIOS,AUDIO,INFORMATICA,BELEZA,UTILIDADES,TELEFONIA,MODA,PAPELARIA,BRINQUEDOS,ELETRO",enviar email de lembrete de pagamento,campanha_urgente_email
159973.0,HENRIQUE,159973@testexp00.com.br,SC,BRUSQUE,pode_receber_emails,1,tem_pendencias,alta_prioridade,2,4,0,0,6,278856.0,0.0,400800.0,66.67,0.0,2020-09-04 00:00:00,2021-11-15 00:00:00,BOLETO,"BELEZA,INFORMATICA,LIVROS,AUDIO",enviar email de lembrete de pagamento,campanha_urgente_email
174709.0,THALYA,174709@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,6,0,0,6,277404.0,0.0,277404.0,100.0,0.0,2021-04-15 00:00:00,2021-04-18 00:00:00,DINHEIRO,"AUDIO,INFORMATICA,TELEFONIA",enviar email de lembrete de pagamento,campanha_urgente_email
147474.0,KARIN,147474@testexp00.com.br,RS,PORTO ALEGRE,pode_receber_emails,1,tem_pendencias,alta_prioridade,5,6,0,0,11,211569.6,0.0,263348.64,54.55,0.0,2020-06-11 00:00:00,2021-06-25 00:00:00,BOLETO,"AUDIO,INFORMATICA,ACESSORIOS,UTILIDADES",enviar email de lembrete de pagamento,campanha_urgente_email
173529.0,PRISCILA,173529@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,4,0,0,4,205884.0,0.0,205884.0,100.0,0.0,2021-12-22 00:00:00,2021-12-22 00:00:00,DINHEIRO,"AUDIO,INFORMATICA",enviar email de lembrete de pagamento,campanha_urgente_email
174989.0,RITA,174989@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,2,0,0,2,182592.0,0.0,182592.0,100.0,0.0,2021-11-11 00:00:00,2021-11-11 00:00:00,DINHEIRO,INFORMATICA,enviar email de lembrete de pagamento,campanha_urgente_email
151932.0,PRISCILA,151932@testexp00.com.br,RS,SÃO LEOPOLDO,pode_receber_emails,1,tem_pendencias,alta_prioridade,7,2,0,0,9,177540.0,0.0,420998.04,22.22,0.0,2020-06-20 00:00:00,2021-07-09 00:00:00,BOLETO,"AUDIO,INFORMATICA,UTILIDADES,BELEZA",enviar email de lembrete de pagamento,campanha_urgente_email
173405.0,CAROL,173405@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,3,0,0,3,176448.0,0.0,176448.0,100.0,0.0,2021-07-07 00:00:00,2021-07-07 00:00:00,DINHEIRO,INFORMATICA,enviar email de lembrete de pagamento,campanha_urgente_email
160134.0,JUNIA,160134@testexp00.com.br,MG,BELO HORIZONTE,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,10,0,0,10,173540.4,0.0,173540.4,100.0,0.0,2021-04-19 00:00:00,2021-04-22 00:00:00,BOLETO,"AUDIO,INFORMATICA,ACESSORIOS,TELEFONIA",enviar email de lembrete de pagamento,campanha_urgente_email
172119.0,ASSIS,172119@testexp00.com.br,RS,PORTÃO,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,7,0,0,7,172963.2,0.0,172963.2,100.0,0.0,2021-06-06 00:00:00,2021-10-25 00:00:00,BOLETO,"BELEZA,INFORMATICA,AUDIO",enviar email de lembrete de pagamento,campanha_urgente_email
174008.0,DENISE,174008@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,3,3,0,0,6,169416.0,0.0,362892.0,50.0,0.0,2021-02-12 00:00:00,2021-06-02 00:00:00,DINHEIRO,"INFORMATICA,LIVROS,MODA",enviar email de lembrete de pagamento,campanha_urgente_email
163527.0,NATALIA,163527@testexp00.com.br,RS,LAJEADO,nao_pode_receber_emails,0,tem_pendencias,alta_prioridade,4,2,0,0,6,162744.0,0.0,405544.8,33.33,0.0,2020-12-15 00:00:00,2021-12-15 00:00:00,BOLETO,"AUDIO,INFORMATICA",tentar contato telefônico ou sms,campanha_urgente_outros
148496.0,CAROLINA,148496@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,7,10,0,0,17,156012.0,0.0,248817.12,58.82,0.0,2020-05-22 00:00:00,2021-08-20 00:00:00,BOLETO,"AUDIO,INFORMATICA,MODA,ACESSORIOS",enviar email de lembrete de pagamento,campanha_urgente_email
165595.0,MONICK,165595@testexp00.com.br,CE,FORTALEZA,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,11,0,0,11,149016.0,0.0,149016.0,100.0,0.0,2021-04-29 00:00:00,2021-04-29 00:00:00,BOLETO,"ACESSORIOS,AUDIO,INFORMATICA,TELEFONIA",enviar email de lembrete de pagamento,campanha_urgente_email
161700.0,ANNA,161700@testexp00.com.br,,,nao_pode_receber_emails,0,tem_pendencias,alta_prioridade,2,6,0,0,8,148704.0,0.0,209664.0,75.0,0.0,2021-02-09 00:00:00,2021-12-22 00:00:00,BOLETO,"INFORMATICA,TELEFONIA,BELEZA,AUDIO",tentar contato telefônico ou sms,campanha_urgente_outros
192864.0,RAQUEL,192864@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,8,0,0,8,148693.0,0.0,148693.0,100.0,0.0,2021-07-11 00:00:00,2021-07-13 00:00:00,DINHEIRO,"AUDIO,INFORMATICA,ACESSORIOS,BELEZA",enviar email de lembrete de pagamento,campanha_urgente_email
157786.0,BERNARDO,157786@testexp00.com.br,,,nao_pode_receber_emails,0,tem_pendencias,alta_prioridade,4,10,0,0,14,147116.4,0.0,195322.8,71.43,0.0,2020-08-27 00:00:00,2021-05-27 00:00:00,BOLETO,"INFORMATICA,LIVROS,AUDIO,MODA",tentar contato telefônico ou sms,campanha_urgente_outros
148567.0,JOAO,148567@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,4,17,0,0,21,145773.6,0.0,177928.8,80.95,0.0,2020-06-07 00:00:00,2021-05-08 00:00:00,BOLETO,"INFORMATICA,BELEZA,TELEFONIA,AUDIO,MODA,UTILIDADES",enviar email de lembrete de pagamento,campanha_urgente_email
160620.0,CAROLINA,160620@testexp00.com.br,SP,SÃO PAULO,pode_receber_emails,1,tem_pendencias,alta_prioridade,6,2,0,0,8,140532.0,0.0,189508.32,25.0,0.0,2020-10-01 00:00:00,2021-09-18 00:00:00,BOLETO,"AUDIO,INFORMATICA",enviar email de lembrete de pagamento,campanha_urgente_email
150699.0,ADRIANA,150699@testexp00.com.br,,,nao_pode_receber_emails,0,tem_pendencias,alta_prioridade,6,2,0,0,8,139572.0,0.0,192464.4,25.0,0.0,2020-06-21 00:00:00,2021-06-13 00:00:00,BOLETO,"AUDIO,BELEZA,INFORMATICA",tentar contato telefônico ou sms,campanha_urgente_outros
174861.0,ALESSANDRO,174861@testexp00.com.br,,,nao_pode_receber_emails,0,tem_pendencias,alta_prioridade,0,4,0,0,4,133560.0,0.0,133560.0,100.0,0.0,2021-03-18 00:00:00,2021-03-18 00:00:00,DINHEIRO,"AUDIO,ELETRO,BELEZA",tentar contato telefônico ou sms,campanha_urgente_outros
175346.0,WALTER,175346@testexp00.com.br,SP,SÃO PAULO,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,6,0,0,6,131292.0,0.0,131292.0,100.0,0.0,2021-03-21 00:00:00,2021-03-23 00:00:00,BOLETO,"AUDIO,INFORMATICA,BELEZA,ACESSORIOS",enviar email de lembrete de pagamento,campanha_urgente_email
190639.0,ELIBERTO,190639@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,4,0,0,4,127849.0,0.0,127849.0,100.0,0.0,2021-07-04 00:00:00,2021-07-07 00:00:00,DINHEIRO,"INFORMATICA,UTILIDADES,ACESSORIOS",enviar email de lembrete de pagamento,campanha_urgente_email
160105.0,HELIDIA,160105@testexp00.com.br,,,nao_pode_receber_emails,0,tem_pendencias,alta_prioridade,4,2,0,0,6,122799.6,0.0,149139.6,33.33,0.0,2020-09-22 00:00:00,2021-03-15 00:00:00,BOLETO,"AUDIO,UTILIDADES,INFORMATICA",tentar contato telefônico ou sms,campanha_urgente_outros
157392.0,LEANDRO,157392@testexp00.com.br,RS,PORTO ALEGRE,pode_receber_emails,1,tem_pendencias,alta_prioridade,5,4,0,0,9,121752.0,0.0,160763.76,44.44,0.0,2020-10-12 00:00:00,2021-04-01 00:00:00,BOLETO,"BELEZA,INFORMATICA,MODA,TELEFONIA",enviar email de lembrete de pagamento,campanha_urgente_email
153541.0,BLOQUEIO,153541@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,6,1,0,0,7,119016.0,0.0,188351.04,14.29,0.0,2020-07-18 00:00:00,2021-05-21 00:00:00,BOLETO,"AUDIO,BELEZA,INFORMATICA",enviar email de lembrete de pagamento,campanha_urgente_email
93265.0,MARIO,93265@testexp00.com.br,SC,TUBARÃO,nao_pode_receber_emails,0,tem_pendencias,alta_prioridade,0,2,0,0,2,112696.0,0.0,112696.0,100.0,0.0,2021-11-17 00:00:00,2021-11-17 00:00:00,CC,"ACESSORIOS,INFORMATICA",tentar contato telefônico ou sms,campanha_urgente_outros
172199.0,MEIGAN,172199@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,2,0,0,2,111816.0,0.0,111816.0,100.0,0.0,2021-06-06 00:00:00,2021-06-06 00:00:00,BOLETO,"BELEZA,INFORMATICA",enviar email de lembrete de pagamento,campanha_urgente_email
153189.0,MARIA,153189@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,8,0,0,8,106458.0,0.0,106458.0,100.0,0.0,2021-03-26 00:00:00,2021-03-26 00:00:00,BOLETO,"AUDIO,BELEZA,INFORMATICA",enviar email de lembrete de pagamento,campanha_urgente_email
168953.0,FRANCISCO,168953@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,4,0,0,4,101952.0,0.0,101952.0,100.0,0.0,2021-03-06 00:00:00,2021-03-09 00:00:00,BOLETO,"AUDIO,MODA,INFORMATICA",enviar email de lembrete de pagamento,campanha_urgente_email
192286.0,DENISE,192286@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,6,0,0,6,101878.0,0.0,101878.0,100.0,0.0,2021-05-25 00:00:00,2021-08-15 00:00:00,DINHEIRO,"AUDIO,INFORMATICA,TELEFONIA",enviar email de lembrete de pagamento,campanha_urgente_email
186550.0,RODRIGO,186550@testexp00.com.br,RS,PORTO ALEGRE,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,2,0,0,2,101565.0,0.0,101565.0,100.0,0.0,2021-05-21 00:00:00,2021-05-21 00:00:00,DINHEIRO,"AUDIO,BELEZA",enviar email de lembrete de pagamento,campanha_urgente_email
194716.0,ALINE,194716@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,2,0,0,2,99711.0,0.0,99711.0,100.0,0.0,2021-07-07 00:00:00,2021-07-07 00:00:00,DINHEIRO,"INFORMATICA,LIVROS",enviar email de lembrete de pagamento,campanha_urgente_email
185700.0,ALEXANDRE,185700@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,38,0,0,38,99412.0,0.0,99412.0,100.0,0.0,2021-08-05 00:00:00,2021-08-06 00:00:00,DINHEIRO,"ACESSORIOS,INFORMATICA,TELEFONIA,AUDIO,UTILIDADES,BELEZA",enviar email de lembrete de pagamento,campanha_urgente_email
195997.0,JOAO,195997@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,12,0,0,12,99282.0,0.0,99282.0,100.0,0.0,2021-07-18 00:00:00,2021-07-22 00:00:00,DINHEIRO,"INFORMATICA,AUDIO,TELEFONIA,ACESSORIOS,LIVROS,BELEZA",enviar email de lembrete de pagamento,campanha_urgente_email
190647.0,BRUNO,190647@testexp00.com.br,RJ,NITERÓI,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,4,0,0,4,92678.0,0.0,92678.0,100.0,0.0,2021-07-17 00:00:00,2021-07-17 00:00:00,DINHEIRO,"AUDIO,BELEZA,UTILIDADES",enviar email de lembrete de pagamento,campanha_urgente_email
185355.0,TIAGO,185355@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,20,0,0,20,89809.0,0.0,89809.0,100.0,0.0,2021-10-08 00:00:00,2022-04-07 00:00:00,BOLETO,"ACESSORIOS,BELEZA,AUDIO,INFORMATICA,ELETRO,UTILIDADES,TELEFONIA",enviar email de lembrete de pagamento,campanha_urgente_email
174595.0,ROSEMERI,174595@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,4,0,0,4,89469.6,0.0,89469.6,100.0,0.0,2021-05-21 00:00:00,2021-05-21 00:00:00,DINHEIRO,"BELEZA,INFORMATICA",enviar email de lembrete de pagamento,campanha_urgente_email
174275.0,SILVIA,174275@testexp00.com.br,,,pode_receber_emails,1,tem_pendencias,alta_prioridade,0,4,0,0,4,88690.8,0.0,88690.8,100.0,0.0,2021-05-05 00:00:00,2021-05-05 00:00:00,DINHEIRO,"INFORMATICA,UTILIDADES",enviar email de lembrete de pagamento,campanha_urgente_email
